PassengerId,Survived,Pclass,Ticket,Fare
1,0,3,A/5 21171,7.25
2,1,1,PC 17599,71.2833
3,1,3,STON/O2. 3101282,7.925
4,1,1,113803,53.1
5,0,3,373450,8.05
6,0,3,330877,8.4583
7,0,1,17463,51.8625
8,0,3,349909,21.075
9,1,3,347742,11.1333
10,1,2,237736,30.0708
11,1,3,PP 9549,16.7
12,1,1,113783,26.55
13,0,3,A/5. 2151,8.05
14,0,3,347082,31.275
15,0,3,350406,7.8542
16,1,2,248706,16
17,0,3,382652,29.125
18,1,2,244373,13
19,0,3,345763,18
20,1,3,2649,7.225
21,0,2,239865,26
22,1,2,248698,13
23,1,3,330923,8.0292
24,1,1,113788,35.5
25,0,3,349909,21.075
26,1,3,347077,31.3875
27,0,3,2631,7.225
28,0,1,19950,263
29,1,3,330959,7.8792
30,0,3,349216,7.8958
31,0,1,PC 17601,27.7208
32,1,1,PC 17569,146.5208
33,1,3,335677,7.75
34,0,2,C.A. 24579,10.5
35,0,1,PC 17604,82.1708
36,0,1,113789,52
37,1,3,2677,7.2292
38,0,3,A./5. 2152,8.05
39,0,3,345764,18
40,1,3,2651,11.2417
41,0,3,7546,9.475
42,0,2,11668,21
43,0,3,349253,7.8958
44,1,2,SC/Paris 2123,41.5792
45,1,3,330958,7.8792
46,0,3,S.C./A.4. 23567,8.05
47,0,3,370371,15.5
48,1,3,14311,7.75
49,0,3,2662,21.6792
50,0,3,349237,17.8
51,0,3,3101295,39.6875
52,0,3,A/4. 39886,7.8
53,1,1,PC 17572,76.7292
54,1,2,2926,26
55,0,1,113509,61.9792
56,1,1,19947,35.5
57,1,2,C.A. 31026,10.5
58,0,3,2697,7.2292
59,1,2,C.A. 34651,27.75
60,0,3,CA 2144,46.9
61,0,3,2669,7.2292
62,1,1,113572,80
63,0,1,36973,83.475
64,0,3,347088,27.9
65,0,1,PC 17605,27.7208
66,1,3,2661,15.2458
67,1,2,C.A. 29395,10.5
68,0,3,S.P. 3464,8.1583
69,1,3,3101281,7.925
70,0,3,315151,8.6625
71,0,2,C.A. 33111,10.5
72,0,3,CA 2144,46.9
73,0,2,S.O.C. 14879,73.5
74,0,3,2680,14.4542
75,1,3,1601,56.4958
76,0,3,348123,7.65
77,0,3,349208,7.8958
78,0,3,374746,8.05
79,1,2,248738,29
80,1,3,364516,12.475
81,0,3,345767,9
82,1,3,345779,9.5
83,1,3,330932,7.7875
84,0,1,113059,47.1
85,1,2,SO/C 14885,10.5
86,1,3,3101278,15.85
87,0,3,W./C. 6608,34.375
88,0,3,SOTON/OQ 392086,8.05
89,1,1,19950,263
90,0,3,343275,8.05
91,0,3,343276,8.05
92,0,3,347466,7.8542
93,0,1,W.E.P. 5734,61.175
94,0,3,C.A. 2315,20.575
95,0,3,364500,7.25
96,0,3,374910,8.05
97,0,1,PC 17754,34.6542
98,1,1,PC 17759,63.3583
99,1,2,231919,23
100,0,2,244367,26
101,0,3,349245,7.8958
102,0,3,349215,7.8958
103,0,1,35281,77.2875
104,0,3,7540,8.6542
105,0,3,3101276,7.925
106,0,3,349207,7.8958
107,1,3,343120,7.65
108,1,3,312991,7.775
109,0,3,349249,7.8958
110,1,3,371110,24.15
111,0,1,110465,52
112,0,3,2665,14.4542
113,0,3,324669,8.05
114,0,3,4136,9.825
115,0,3,2627,14.4583
116,0,3,STON/O 2. 3101294,7.925
117,0,3,370369,7.75
118,0,2,11668,21
119,0,1,PC 17558,247.5208
120,0,3,347082,31.275
121,0,2,S.O.C. 14879,73.5
122,0,3,A4. 54510,8.05
123,0,2,237736,30.0708
124,1,2,27267,13
125,0,1,35281,77.2875
126,1,3,2651,11.2417
127,0,3,370372,7.75
128,1,3,C 17369,7.1417
129,1,3,2668,22.3583
130,0,3,347061,6.975
131,0,3,349241,7.8958
132,0,3,SOTON/O.Q. 3101307,7.05
133,0,3,A/5. 3337,14.5
134,1,2,228414,26
135,0,2,C.A. 29178,13
136,0,2,SC/PARIS 2133,15.0458
137,1,1,11752,26.2833
138,0,1,113803,53.1
139,0,3,7534,9.2167
140,0,1,PC 17593,79.2
141,0,3,2678,15.2458
142,1,3,347081,7.75
143,1,3,STON/O2. 3101279,15.85
144,0,3,365222,6.75
145,0,2,231945,11.5
146,0,2,C.A. 33112,36.75
147,1,3,350043,7.7958
148,0,3,W./C. 6608,34.375
149,0,2,230080,26
150,0,2,244310,13
151,0,2,S.O.P. 1166,12.525
152,1,1,113776,66.6
153,0,3,A.5. 11206,8.05
154,0,3,A/5. 851,14.5
155,0,3,Fa 265302,7.3125
156,0,1,PC 17597,61.3792
157,1,3,35851,7.7333
158,0,3,SOTON/OQ 392090,8.05
159,0,3,315037,8.6625
160,0,3,CA. 2343,69.55
161,0,3,371362,16.1
162,1,2,C.A. 33595,15.75
163,0,3,347068,7.775
164,0,3,315093,8.6625
165,0,3,3101295,39.6875
166,1,3,363291,20.525
167,1,1,113505,55
168,0,3,347088,27.9
169,0,1,PC 17318,25.925
170,0,3,1601,56.4958
171,0,1,111240,33.5
172,0,3,382652,29.125
173,1,3,347742,11.1333
174,0,3,STON/O 2. 3101280,7.925
175,0,1,17764,30.6958
176,0,3,350404,7.8542
177,0,3,4133,25.4667
178,0,1,PC 17595,28.7125
179,0,2,250653,13
180,0,3,LINE,0
181,0,3,CA. 2343,69.55
182,0,2,SC/PARIS 2131,15.05
183,0,3,347077,31.3875
184,1,2,230136,39
185,1,3,315153,22.025
186,0,1,113767,50
187,1,3,370365,15.5
188,1,1,111428,26.55
189,0,3,364849,15.5
190,0,3,349247,7.8958
191,1,2,234604,13
192,0,2,28424,13
193,1,3,350046,7.8542
194,1,2,230080,26
195,1,1,PC 17610,27.7208
196,1,1,PC 17569,146.5208
197,0,3,368703,7.75
198,0,3,4579,8.4042
199,1,3,370370,7.75
200,0,2,248747,13
201,0,3,345770,9.5
202,0,3,CA. 2343,69.55
203,0,3,3101264,6.4958
204,0,3,2628,7.225
205,1,3,A/5 3540,8.05
206,0,3,347054,10.4625
207,0,3,3101278,15.85
208,1,3,2699,18.7875
209,1,3,367231,7.75
210,1,1,112277,31
211,0,3,SOTON/O.Q. 3101311,7.05
212,1,2,F.C.C. 13528,21
213,0,3,A/5 21174,7.25
214,0,2,250646,13
215,0,3,367229,7.75
216,1,1,35273,113.275
217,1,3,STON/O2. 3101283,7.925
218,0,2,243847,27
219,1,1,11813,76.2917
220,0,2,W/C 14208,10.5
221,1,3,SOTON/OQ 392089,8.05
222,0,2,220367,13
223,0,3,21440,8.05
224,0,3,349234,7.8958
225,1,1,19943,90
226,0,3,PP 4348,9.35
227,1,2,SW/PP 751,10.5
228,0,3,A/5 21173,7.25
229,0,2,236171,13
230,0,3,4133,25.4667
231,1,1,36973,83.475
232,0,3,347067,7.775
233,0,2,237442,13.5
234,1,3,347077,31.3875
235,0,2,C.A. 29566,10.5
236,0,3,W./C. 6609,7.55
237,0,2,26707,26
238,1,2,C.A. 31921,26.25
239,0,2,28665,10.5
240,0,2,SCO/W 1585,12.275
241,0,3,2665,14.4542
242,1,3,367230,15.5
243,0,2,W./C. 14263,10.5
244,0,3,STON/O 2. 3101275,7.125
245,0,3,2694,7.225
246,0,1,19928,90
247,0,3,347071,7.775
248,1,2,250649,14.5
249,1,1,11751,52.5542
250,0,2,244252,26
251,0,3,362316,7.25
252,0,3,347054,10.4625
253,0,1,113514,26.55
254,0,3,A/5. 3336,16.1
255,0,3,370129,20.2125
256,1,3,2650,15.2458
257,1,1,PC 17585,79.2
258,1,1,110152,86.5
259,1,1,PC 17755,512.3292
260,1,2,230433,26
261,0,3,384461,7.75
262,1,3,347077,31.3875
263,0,1,110413,79.65
264,0,1,112059,0
265,0,3,382649,7.75
266,0,2,C.A. 17248,10.5
267,0,3,3101295,39.6875
268,1,3,347083,7.775
269,1,1,PC 17582,153.4625
270,1,1,PC 17760,135.6333
271,0,1,113798,31
272,1,3,LINE,0
273,1,2,250644,19.5
274,0,1,PC 17596,29.7
275,1,3,370375,7.75
276,1,1,13502,77.9583
277,0,3,347073,7.75
278,0,2,239853,0
279,0,3,382652,29.125
280,1,3,C.A. 2673,20.25
281,0,3,336439,7.75
282,0,3,347464,7.8542
283,0,3,345778,9.5
284,1,3,A/5. 10482,8.05
285,0,1,113056,26
286,0,3,349239,8.6625
287,1,3,345774,9.5
288,0,3,349206,7.8958
289,1,2,237798,13
290,1,3,370373,7.75
291,1,1,19877,78.85
292,1,1,11967,91.0792
293,0,2,SC/Paris 2163,12.875
294,0,3,349236,8.85
295,0,3,349233,7.8958
296,0,1,PC 17612,27.7208
297,0,3,2693,7.2292
298,0,1,113781,151.55
299,1,1,19988,30.5
300,1,1,PC 17558,247.5208
301,1,3,9234,7.75
302,1,3,367226,23.25
303,0,3,LINE,0
304,1,2,226593,12.35
305,0,3,A/5 2466,8.05
306,1,1,113781,151.55
307,1,1,17421,110.8833
308,1,1,PC 17758,108.9
309,0,2,P/PP 3381,24
310,1,1,PC 17485,56.9292
311,1,1,11767,83.1583
312,1,1,PC 17608,262.375
313,0,2,250651,26
314,0,3,349243,7.8958
315,0,2,F.C.C. 13529,26.25
316,1,3,347470,7.8542
317,1,2,244367,26
318,0,2,29011,14
319,1,1,36928,164.8667
320,1,1,16966,134.5
321,0,3,A/5 21172,7.25
322,0,3,349219,7.8958
323,1,2,234818,12.35
324,1,2,248738,29
325,0,3,CA. 2343,69.55
326,1,1,PC 17760,135.6333
327,0,3,345364,6.2375
328,1,2,28551,13
329,1,3,363291,20.525
330,1,1,111361,57.9792
331,1,3,367226,23.25
332,0,1,113043,28.5
333,0,1,PC 17582,153.4625
334,0,3,345764,18
335,1,1,PC 17611,133.65
336,0,3,349225,7.8958
337,0,1,113776,66.6
338,1,1,16966,134.5
339,1,3,7598,8.05
340,0,1,113784,35.5
341,1,2,230080,26
342,1,1,19950,263
343,0,2,248740,13
344,0,2,244361,13
345,0,2,229236,13
346,1,2,248733,13
347,1,2,31418,13
348,1,3,386525,16.1
349,1,3,C.A. 37671,15.9
350,0,3,315088,8.6625
351,0,3,7267,9.225
352,0,1,113510,35
353,0,3,2695,7.2292
354,0,3,349237,17.8
355,0,3,2647,7.225
356,0,3,345783,9.5
357,1,1,113505,55
358,0,2,237671,13
359,1,3,330931,7.8792
360,1,3,330980,7.8792
361,0,3,347088,27.9
362,0,2,SC/PARIS 2167,27.7208
363,0,3,2691,14.4542
364,0,3,SOTON/O.Q. 3101310,7.05
365,0,3,370365,15.5
366,0,3,C 7076,7.25
367,1,1,110813,75.25
368,1,3,2626,7.2292
369,1,3,14313,7.75
370,1,1,PC 17477,69.3
371,1,1,11765,55.4417
372,0,3,3101267,6.4958
373,0,3,323951,8.05
374,0,1,PC 17760,135.6333
375,0,3,349909,21.075
376,1,1,PC 17604,82.1708
377,1,3,C 7077,7.25
378,0,1,113503,211.5
379,0,3,2648,4.0125
380,0,3,347069,7.775
381,1,1,PC 17757,227.525
382,1,3,2653,15.7417
383,0,3,STON/O 2. 3101293,7.925
384,1,1,113789,52
385,0,3,349227,7.8958
386,0,2,S.O.C. 14879,73.5
387,0,3,CA 2144,46.9
388,1,2,27849,13
389,0,3,367655,7.7292
390,1,2,SC 1748,12
391,1,1,113760,120
392,1,3,350034,7.7958
393,0,3,3101277,7.925
394,1,1,35273,113.275
395,1,3,PP 9549,16.7
396,0,3,350052,7.7958
397,0,3,350407,7.8542
398,0,2,28403,26
399,0,2,244278,10.5
400,1,2,240929,12.65
401,1,3,STON/O 2. 3101289,7.925
402,0,3,341826,8.05
403,0,3,4137,9.825
404,0,3,STON/O2. 3101279,15.85
405,0,3,315096,8.6625
406,0,2,28664,21
407,0,3,347064,7.75
408,1,2,29106,18.75
409,0,3,312992,7.775
410,0,3,4133,25.4667
411,0,3,349222,7.8958
412,0,3,394140,6.8583
413,1,1,19928,90
414,0,2,239853,0
415,1,3,STON/O 2. 3101269,7.925
416,0,3,343095,8.05
417,1,2,28220,32.5
418,1,2,250652,13
419,0,2,28228,13
420,0,3,345773,24.15
421,0,3,349254,7.8958
422,0,3,A/5. 13032,7.7333
423,0,3,315082,7.875
424,0,3,347080,14.4
425,0,3,370129,20.2125
426,0,3,A/4. 34244,7.25
427,1,2,2003,26
428,1,2,250655,26
429,0,3,364851,7.75
430,1,3,SOTON/O.Q. 392078,8.05
431,1,1,110564,26.55
432,1,3,376564,16.1
433,1,2,SC/AH 3085,26
434,0,3,STON/O 2. 3101274,7.125
435,0,1,13507,55.9
436,1,1,113760,120
437,0,3,W./C. 6608,34.375
438,1,2,29106,18.75
439,0,1,19950,263
440,0,2,C.A. 18723,10.5
441,1,2,F.C.C. 13529,26.25
442,0,3,345769,9.5
443,0,3,347076,7.775
444,1,2,230434,13
445,1,3,65306,8.1125
446,1,1,33638,81.8583
447,1,2,250644,19.5
448,1,1,113794,26.55
449,1,3,2666,19.2583
450,1,1,113786,30.5
451,0,2,C.A. 34651,27.75
452,0,3,65303,19.9667
453,0,1,113051,27.75
454,1,1,17453,89.1042
455,0,3,A/5 2817,8.05
456,1,3,349240,7.8958
457,0,1,13509,26.55
458,1,1,17464,51.8625
459,1,2,F.C.C. 13531,10.5
460,0,3,371060,7.75
461,1,1,19952,26.55
462,0,3,364506,8.05
463,0,1,111320,38.5
464,0,2,234360,13
465,0,3,A/S 2816,8.05
466,0,3,SOTON/O.Q. 3101306,7.05
467,0,2,239853,0
468,0,1,113792,26.55
469,0,3,36209,7.725
470,1,3,2666,19.2583
471,0,3,323592,7.25
472,0,3,315089,8.6625
473,1,2,C.A. 34651,27.75
474,1,2,SC/AH Basle 541,13.7917
475,0,3,7553,9.8375
476,0,1,110465,52
477,0,2,31027,21
478,0,3,3460,7.0458
479,0,3,350060,7.5208
480,1,3,3101298,12.2875
481,0,3,CA 2144,46.9
482,0,2,239854,0
483,0,3,A/5 3594,8.05
484,1,3,4134,9.5875
485,1,1,11967,91.0792
486,0,3,4133,25.4667
487,1,1,19943,90
488,0,1,11771,29.7
489,0,3,A.5. 18509,8.05
490,1,3,C.A. 37671,15.9
491,0,3,65304,19.9667
492,0,3,SOTON/OQ 3101317,7.25
493,0,1,113787,30.5
494,0,1,PC 17609,49.5042
495,0,3,A/4 45380,8.05
496,0,3,2627,14.4583
497,1,1,36947,78.2667
498,0,3,C.A. 6212,15.1
499,0,1,113781,151.55
500,0,3,350035,7.7958
501,0,3,315086,8.6625
502,0,3,364846,7.75
503,0,3,330909,7.6292
504,0,3,4135,9.5875
505,1,1,110152,86.5
506,0,1,PC 17758,108.9
507,1,2,26360,26
508,1,1,111427,26.55
509,0,3,C 4001,22.525
510,1,3,1601,56.4958
511,1,3,382651,7.75
512,0,3,SOTON/OQ 3101316,8.05
513,1,1,PC 17473,26.2875
514,1,1,PC 17603,59.4
515,0,3,349209,7.4958
516,0,1,36967,34.0208
517,1,2,C.A. 34260,10.5
518,0,3,371110,24.15
519,1,2,226875,26
520,0,3,349242,7.8958
521,1,1,12749,93.5
522,0,3,349252,7.8958
523,0,3,2624,7.225
524,1,1,111361,57.9792
525,0,3,2700,7.2292
526,0,3,367232,7.75
527,1,2,W./C. 14258,10.5
528,0,1,PC 17483,221.7792
529,0,3,3101296,7.925
530,0,2,29104,11.5
531,1,2,26360,26
532,0,3,2641,7.2292
533,0,3,2690,7.2292
534,1,3,2668,22.3583
535,0,3,315084,8.6625
536,1,2,F.C.C. 13529,26.25
537,0,1,113050,26.55
538,1,1,PC 17761,106.425
539,0,3,364498,14.5
540,1,1,13568,49.5
541,1,1,WE/P 5735,71
542,0,3,347082,31.275
543,0,3,347082,31.275
544,1,2,2908,26
545,0,1,PC 17761,106.425
546,0,1,693,26
547,1,2,2908,26
548,1,2,SC/PARIS 2146,13.8625
549,0,3,363291,20.525
550,1,2,C.A. 33112,36.75
551,1,1,17421,110.8833
552,0,2,244358,26
553,0,3,330979,7.8292
554,1,3,2620,7.225
555,1,3,347085,7.775
556,0,1,113807,26.55
557,1,1,11755,39.6
558,0,1,PC 17757,227.525
559,1,1,110413,79.65
560,1,3,345572,17.4
561,0,3,372622,7.75
562,0,3,349251,7.8958
563,0,2,218629,13.5
564,0,3,SOTON/OQ 392082,8.05
565,0,3,SOTON/O.Q. 392087,8.05
566,0,3,A/4 48871,24.15
567,0,3,349205,7.8958
568,0,3,349909,21.075
569,0,3,2686,7.2292
570,1,3,350417,7.8542
571,1,2,S.W./PP 752,10.5
572,1,1,11769,51.4792
573,1,1,PC 17474,26.3875
574,1,3,14312,7.75
575,0,3,A/4. 20589,8.05
576,0,3,358585,14.5
577,1,2,243880,13
578,1,1,13507,55.9
579,0,3,2689,14.4583
580,1,3,STON/O 2. 3101286,7.925
581,1,2,237789,30
582,1,1,17421,110.8833
583,0,2,28403,26
584,0,1,13049,40.125
585,0,3,3411,8.7125
586,1,1,110413,79.65
587,0,2,237565,15
588,1,1,13567,79.2
589,0,3,14973,8.05
590,0,3,A./5. 3235,8.05
591,0,3,STON/O 2. 3101273,7.125
592,1,1,36947,78.2667
593,0,3,A/5 3902,7.25
594,0,3,364848,7.75
595,0,2,SC/AH 29037,26
596,0,3,345773,24.15
597,1,2,248727,33
598,0,3,LINE,0
599,0,3,2664,7.225
600,1,1,PC 17485,56.9292
601,1,2,243847,27
602,0,3,349214,7.8958
603,0,1,113796,42.4
604,0,3,364511,8.05
605,1,1,111426,26.55
606,0,3,349910,15.55
607,0,3,349246,7.8958
608,1,1,113804,30.5
609,1,2,SC/Paris 2123,41.5792
610,1,1,PC 17582,153.4625
611,0,3,347082,31.275
612,0,3,SOTON/O.Q. 3101305,7.05
613,1,3,367230,15.5
614,0,3,370377,7.75
615,0,3,364512,8.05
616,1,2,220845,65
617,0,3,347080,14.4
618,0,3,A/5. 3336,16.1
619,1,2,230136,39
620,0,2,31028,10.5
621,0,3,2659,14.4542
622,1,1,11753,52.5542
623,1,3,2653,15.7417
624,0,3,350029,7.8542
625,0,3,54636,16.1
626,0,1,36963,32.3208
627,0,2,219533,12.35
628,1,1,13502,77.9583
629,0,3,349224,7.8958
630,0,3,334912,7.7333
631,1,1,27042,30
632,0,3,347743,7.0542
633,1,1,13214,30.5
634,0,1,112052,0
635,0,3,347088,27.9
636,1,2,237668,13
637,0,3,STON/O 2. 3101292,7.925
638,0,2,C.A. 31921,26.25
639,0,3,3101295,39.6875
640,0,3,376564,16.1
641,0,3,350050,7.8542
642,1,1,PC 17477,69.3
643,0,3,347088,27.9
644,1,3,1601,56.4958
645,1,3,2666,19.2583
646,1,1,PC 17572,76.7292
647,0,3,349231,7.8958
648,1,1,13213,35.5
649,0,3,S.O./P.P. 751,7.55
650,1,3,CA. 2314,7.55
651,0,3,349221,7.8958
652,1,2,231919,23
653,0,3,8475,8.4333
654,1,3,330919,7.8292
655,0,3,365226,6.75
656,0,2,S.O.C. 14879,73.5
657,0,3,349223,7.8958
658,0,3,364849,15.5
659,0,2,29751,13
660,0,1,35273,113.275
661,1,1,PC 17611,133.65
662,0,3,2623,7.225
663,0,1,5727,25.5875
664,0,3,349210,7.4958
665,1,3,STON/O 2. 3101285,7.925
666,0,2,S.O.C. 14879,73.5
667,0,2,234686,13
668,0,3,312993,7.775
669,0,3,A/5 3536,8.05
670,1,1,19996,52
671,1,2,29750,39
672,0,1,F.C. 12750,52
673,0,2,C.A. 24580,10.5
674,1,2,244270,13
675,0,2,239856,0
676,0,3,349912,7.775
677,0,3,342826,8.05
678,1,3,4138,9.8417
679,0,3,CA 2144,46.9
680,1,1,PC 17755,512.3292
681,0,3,330935,8.1375
682,1,1,PC 17572,76.7292
683,0,3,6563,9.225
684,0,3,CA 2144,46.9
685,0,2,29750,39
686,0,2,SC/Paris 2123,41.5792
687,0,3,3101295,39.6875
688,0,3,349228,10.1708
689,0,3,350036,7.7958
690,1,1,24160,211.3375
691,1,1,17474,57
692,1,3,349256,13.4167
693,1,3,1601,56.4958
694,0,3,2672,7.225
695,0,1,113800,26.55
696,0,2,248731,13.5
697,0,3,363592,8.05
698,1,3,35852,7.7333
699,0,1,17421,110.8833
700,0,3,348121,7.65
701,1,1,PC 17757,227.525
702,1,1,PC 17475,26.2875
703,0,3,2691,14.4542
704,0,3,36864,7.7417
705,0,3,350025,7.8542
706,0,2,250655,26
707,1,2,223596,13.5
708,1,1,PC 17476,26.2875
709,1,1,113781,151.55
710,1,3,2661,15.2458
711,1,1,PC 17482,49.5042
712,0,1,113028,26.55
713,1,1,19996,52
714,0,3,7545,9.4833
715,0,2,250647,13
716,0,3,348124,7.65
717,1,1,PC 17757,227.525
718,1,2,34218,10.5
719,0,3,36568,15.5
720,0,3,347062,7.775
721,1,2,248727,33
722,0,3,350048,7.0542
723,0,2,12233,13
724,0,2,250643,13
725,1,1,113806,53.1
726,0,3,315094,8.6625
727,1,2,31027,21
728,1,3,36866,7.7375
729,0,2,236853,26
730,0,3,STON/O2. 3101271,7.925
731,1,1,24160,211.3375
732,0,3,2699,18.7875
733,0,2,239855,0
734,0,2,28425,13
735,0,2,233639,13
736,0,3,54636,16.1
737,0,3,W./C. 6608,34.375
738,1,1,PC 17755,512.3292
739,0,3,349201,7.8958
740,0,3,349218,7.8958
741,1,1,16988,30
742,0,1,19877,78.85
743,1,1,PC 17608,262.375
744,0,3,376566,16.1
745,1,3,STON/O 2. 3101288,7.925
746,0,1,WE/P 5735,71
747,0,3,C.A. 2673,20.25
748,1,2,250648,13
749,0,1,113773,53.1
750,0,3,335097,7.75
751,1,2,29103,23
752,1,3,392096,12.475
753,0,3,345780,9.5
754,0,3,349204,7.8958
755,1,2,220845,65
756,1,2,250649,14.5
757,0,3,350042,7.7958
758,0,2,29108,11.5
759,0,3,363294,8.05
760,1,1,110152,86.5
761,0,3,358585,14.5
762,0,3,SOTON/O2 3101272,7.125
763,1,3,2663,7.2292
764,1,1,113760,120
765,0,3,347074,7.775
766,1,1,13502,77.9583
767,0,1,112379,39.6
768,0,3,364850,7.75
769,0,3,371110,24.15
770,0,3,8471,8.3625
771,0,3,345781,9.5
772,0,3,350047,7.8542
773,0,2,S.O./P.P. 3,10.5
774,0,3,2674,7.225
775,1,2,29105,23
776,0,3,347078,7.75
777,0,3,383121,7.75
778,1,3,364516,12.475
779,0,3,36865,7.7375
780,1,1,24160,211.3375
781,1,3,2687,7.2292
782,1,1,17474,57
783,0,1,113501,30
784,0,3,W./C. 6607,23.45
785,0,3,SOTON/O.Q. 3101312,7.05
786,0,3,374887,7.25
787,1,3,3101265,7.4958
788,0,3,382652,29.125
789,1,3,C.A. 2315,20.575
790,0,1,PC 17593,79.2
791,0,3,12460,7.75
792,0,2,239865,26
793,0,3,CA. 2343,69.55
794,0,1,PC 17600,30.6958
795,0,3,349203,7.8958
796,0,2,28213,13
797,1,1,17465,25.9292
798,1,3,349244,8.6833
799,0,3,2685,7.2292
800,0,3,345773,24.15
801,0,2,250647,13
802,1,2,C.A. 31921,26.25
803,1,1,113760,120
804,1,3,2625,8.5167
805,1,3,347089,6.975
806,0,3,347063,7.775
807,0,1,112050,0
808,0,3,347087,7.775
809,0,2,248723,13
810,1,1,113806,53.1
811,0,3,3474,7.8875
812,0,3,A/4 48871,24.15
813,0,2,28206,10.5
814,0,3,347082,31.275
815,0,3,364499,8.05
816,0,1,112058,0
817,0,3,STON/O2. 3101290,7.925
818,0,2,S.C./PARIS 2079,37.0042
819,0,3,C 7075,6.45
820,0,3,347088,27.9
821,1,1,12749,93.5
822,1,3,315098,8.6625
823,0,1,19972,0
824,1,3,392096,12.475
825,0,3,3101295,39.6875
826,0,3,368323,6.95
827,0,3,1601,56.4958
828,1,2,S.C./PARIS 2079,37.0042
829,1,3,367228,7.75
830,1,1,113572,80
831,1,3,2659,14.4542
832,1,2,29106,18.75
833,0,3,2671,7.2292
834,0,3,347468,7.8542
835,0,3,2223,8.3
836,1,1,PC 17756,83.1583
837,0,3,315097,8.6625
838,0,3,392092,8.05
839,1,3,1601,56.4958
840,1,1,11774,29.7
841,0,3,SOTON/O2 3101287,7.925
842,0,2,S.O./P.P. 3,10.5
843,1,1,113798,31
844,0,3,2683,6.4375
845,0,3,315090,8.6625
846,0,3,C.A. 5547,7.55
847,0,3,CA. 2343,69.55
848,0,3,349213,7.8958
849,0,2,248727,33
850,1,1,17453,89.1042
851,0,3,347082,31.275
852,0,3,347060,7.775
853,0,3,2678,15.2458
854,1,1,PC 17592,39.4
855,0,2,244252,26
856,1,3,392091,9.35
857,1,1,36928,164.8667
858,1,1,113055,26.55
859,1,3,2666,19.2583
860,0,3,2629,7.2292
861,0,3,350026,14.1083
862,0,2,28134,11.5
863,1,1,17466,25.9292
864,0,3,CA. 2343,69.55
865,0,2,233866,13
866,1,2,236852,13
867,1,2,SC/PARIS 2149,13.8583
868,0,1,PC 17590,50.4958
869,0,3,345777,9.5
870,1,3,347742,11.1333
871,0,3,349248,7.8958
872,1,1,11751,52.5542
873,0,1,695,5
874,0,3,345765,9
875,1,2,P/PP 3381,24
876,1,3,2667,7.225
877,0,3,7534,9.8458
878,0,3,349212,7.8958
879,0,3,349217,7.8958
880,1,1,11767,83.1583
881,1,2,230433,26
882,0,3,349257,7.8958
883,0,3,7552,10.5167
884,0,2,C.A./SOTON 34068,10.5
885,0,3,SOTON/OQ 392076,7.05
886,0,3,382652,29.125
887,0,2,211536,13
888,1,1,112053,30
889,0,3,W./C. 6607,23.45
890,1,1,111369,30
891,0,3,370376,7.75
