Distrito;Poblaci—n;latitud;longitud
Arganzuela;155660;40.398068;-3.693734
Barajas;50010;40.473318;-3.579845
Carabanchel;260196;40.374211;-3.744676
Centro;140473;40.417653;-3.707914
Chamart’n;147551;40.458987;-3.676129
Chamber’;140866;40.436247;-3.703830
Ciudad Lineal;219867;40.448431;-3.650495
Fuencarral;249973;40.426274;-3.700907
Hortaleza;193264;40.472549;-3.642552
Latina;242139;40.403532;-3.736152
Moncloa;121683;40.435020;-3.719236
Moratalaz;95614;40.405933;-3.644874
Puente de Vallecas;240867;40.383553;-3.654535
Retiro;120406;40.411150;-3.676057
Salamanca;147854;40.427045;-3.680602
San Blas;154357;40.427500;-3.615954
Tetu‡n;161313;40.460578;-3.698281
Usera;142894;40.383894;-3.706446
Vic‡lvaro;74048;40.396584;-3.576622
Villa de Vallecas;114512;40.373958;-3.612163
Villaverde;154318;40.345610;-3.695956